event_date,num_purchases,total_revenue,avg_order_value
11/1/2019,22458,6949415.03,309.44
11/2/2019,21864,6389808.37,292.25
11/3/2019,22145,6656920.09,300.61
11/4/2019,26889,8033899.65,298.78
11/5/2019,24875,7250120.41,291.46
11/6/2019,25319,7397760.63,292.18
11/7/2019,24863,7062018.53,284.04
11/8/2019,25714,7742039.59,301.08
11/9/2019,22768,6646804.3,291.94
11/10/2019,22878,6633475.29,289.95
11/11/2019,24931,7255189.94,291.01
11/12/2019,22725,6782115.2,298.44
11/13/2019,22548,6812879.77,302.15
11/14/2019,22124,6949925.13,314.14
11/16/2019,68247,2.34E+07,343.5
11/17/2019,185195,5.78E+07,311.97
11/18/2019,28537,8251007.9,289.13
11/19/2019,24967,7291407.76,292.04
11/20/2019,24947,7089210.27,284.17
11/21/2019,25266,6970110.37,275.87
11/22/2019,24187,6990846.23,289.03
11/23/2019,22243,6339110.07,284.99
11/24/2019,23163,6470750.9,279.36
11/25/2019,24827,7053766.6,284.12
11/26/2019,24226,6893392.91,284.55
11/27/2019,24443,7161341.26,292.98
11/28/2019,24305,7163831.66,294.75
11/29/2019,32107,9635318.38,300.1
11/30/2019,28178,8104972.47,287.63
